Company,Role,Location,Work Type,Visa Sponsored,Pay Range,Source,Date Applied,Status,Job URL,Resume Used,Cover Letter,Priority
Plaid,Technical Support Engineer,United States,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/1e10caf7-85ed-4610-842f-78cea7d40de7,,N,4
Plaid,Technical Account Manager - Enterprise,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/b6b36372-68a9-4bc2-9f5b-c3cb34277bec,,N,4
Plaid,Strategic Partnerships - Credit,New York,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/87faf9fb-7b90-4005-b3d9-9b852c9983b8,,N,4
Plaid,Staff Software Engineer - Online Storage,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/90b7be5b-30f3-43c0-b576-879065991072,,N,4
Plaid,Staff Software Engineer - Money Movement,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/0a94e7cb-1f30-40d8-ae09-899200091386,,N,4
Plaid,Staff Software Engineer - AI Applications,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/a6bf6eeb-6486-4e45-a3b2-e712f32523d3,,N,4
Plaid,"Staff Product Manager, Applied AI",San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/591846f4-0bb6-4f08-b5a0-0a2891056bf5,,N,4
Plaid,Staff Product Manager - Fraud,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/80321712-6e20-47af-9dd9-c79e9f55ab44,,N,4
Plaid,Staff Product Manager - AI Foundations,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/2f79ded3-c9b3-407d-b3c1-da42d5e95693,,N,4
Plaid,Software Engineer - Platform,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/2b9a141e-0669-4197-aa52-2b07d9fadc96,,N,4
Plaid,Software Engineer,San Francisco,On-site (Visa Sponsored),Y,Not Listed,Lever,,Found,https://jobs.lever.co/plaid/f456f4fa-a9f7-4673-892a-8943e3cfa3fe,,N,4
